company;sector;horizon (days);amount;date_BUY_fix;date_SELL_fix;price_BUY;price_SELL;Volatility_Buy;Volatility_sell;Sharpe Ratio;expected_return (yearly);inflation;nominal_return;investment;ESG_ranking;PE_ratio;EPS_ratio;PS_ratio;PB_ratio;NetProfitMargin_ratio;current_ratio;roa_ratio;roe_ratio
TSLA;AUTO;4;20000;3/8/2018;7/8/2018;6.963.400.268.554.680;7.591.400.146.484.370;0.4374353485966606;0.4491788333911282;0.4374353485966606;0.005651911544460127;1.68;0.0901858077533771;BAD;31.1;0.0;-3.22;4.22;12.37;-19.9;0.73;-9.73;-51.74
HOG;AUTO;720;5000;29/5/2015;18/5/2017;45.492.454.528.808.500;4.709.096.908.569.330;0.2535139978821515;0.3230516353408214;0.2535139978821515;0.08791659434069478;-0.5;0.03513801515968959;GOOD;16.3;13.07;3.93;1.8;3.64;13.73;1.88;8.51;27.15
SC;BANK;300;2000;3/9/2015;29/6/2016;19.281.850.814.819.300;9.364.452.362.060.540;0.3003332481151751;0.528732337693811;0.3003332481151751;0.009443548265167983;-0.5;-0.5143385117955914;BAD;26.9;6.36;2.91;1.04;1.49;15.64;0.94;2.86;24.91
JPM;BANK;10;4000;4/5/2015;14/5/2015;5.506.431.198.120.110;56.195.884.704.589.800;0.1893748258626165;0.18701718041395302;0.1893748258626165;0.004166074467311982;-0.5;0.020550020197746013;GOOD;27.9;9.38;5.46;1.87;0.81;19.91;0.99;0.81;8.91
WMT;RETAIL;480;100;30/12/2016;24/4/2018;63.450.355.529.785.100;8.197.151.184.082.030;0.1917655411990893;0.22815363248783244;0.1917655411990893;0.12760533512272537;-0.2;0.2918999611017289;GOOD;27.3;13.88;4.6;0.41;2.44;2.98;0.86;7.2;18.02
KO;FMCG;540;10000;12/12/2017;5/6/2019;4.102.745.819.091.790;4.800.723.648.071.280;0.09083679318495513;0.16850727197179852;0.09083679318495513;0.09529911981617761;1.96;0.17012456041793003;BAD;25.1;153.93;0.27;4.97;9.33;3.45;1.34;1.38;5.79
MSFT;TECH;360;1500;19/2/2016;13/2/2017;4.762.691.879.272.460;6.067.965.316.772.460;0.27583956207093013;0.19999384073038495;0.27583956207093013;0.21524786583202113;-0.2;0.27406212087341475;GOOD;14.7;36.29;1.4;4.7;5.24;13.29;3.0;6.65;14.44
COST;RETAIL;600;2000;21/4/2017;12/12/2018;15.402.536.010.742.100;21.797.506.713.867.100;0.15849893648332233;0.19972331019424355;0.15849893648332233;0.27521216731491355;1.96;0.4151894661155122;BAD;22.3;29.5;5.42;0.58;5.52;1.97;0.93;6.85;19.45
F;AUTO;330;15000;23/9/2016;18/8/2017;9.791.863.441.467.280;8.972.536.087.036.130;0.270167435417439;0.20195993129909856;0.270167435417439;-0.010828444134692982;-0.2;-0.08367430360205047;BAD;29.7;5.36;1.81;0.25;1.25;4.72;1.16;3.09;23.97
MSFT;TECH;540;5000;29/5/2018;20/11/2019;9.479.360.961.914.060;1.480.515.899.658.200;0.22020931393190257;0.23648927328581568;0.22020931393190257;0.32287179874803174;1.68;0.5618309141371265;BAD;14.7;48.99;1.8;6.48;8.56;14.89;3.4;6.3;18.83
KSS;RETAIL;6;15000;10/8/2018;16/8/2018;6.818.767.547.607.420;6.736.754.608.154.290;0.3344046735826009;0.34003550468900345;0.3344046735826009;0.00011267795710948172;1.68;-0.012027531204213262;BAD;12.9;11.59;5.72;0.54;2.02;4.67;1.82;7.16;17.89
SC;BANK;30;2000;21/8/2018;20/9/2018;19.514.678.955.078.100;1.955.098.533.630.370;0.29068902703297567;0.2795424303375114;0.29068902703297567;0.0009443548265167981;1.68;0.0018604652071992332;BAD;26.9;4.65;3.75;0.87;0.89;18.62;0.87;3.38;20.59
PG;FMCG;1;4000;8/6/2015;9/6/2015;6.575.753.021.240.230;6.676.448.059.082.030;0.12697538314939266;0.12789299217531977;0.12697538314939266;0.00021164936078741628;-0.5;0.015313080877055973;GOOD;25.1;27.12;2.44;2.65;2.85;9.59;1.0;5.16;10.7
TSLA;AUTO;210;15000;17/7/2014;12/2/2015;4.308.000.183.105.460;4.057.600.021.362.300;0.5718838241529839;0.4500018222753186;0.5718838241529839;0.2967253560841567;-0.15;-0.058124454758648685;BAD;31.1;0.0;-0.27;12.06;31.41;-6.81;2.18;-4.7;-21.45
JPM;BANK;360;25000;3/10/2017;28/9/2018;8.790.361.022.949.210;1.041.051.254.272.460;0.17266362443130917;0.19791613770230448;0.17266362443130917;0.14997868082323138;1.96;0.18431000905942543;BAD;27.9;12.43;6.94;2.75;1.16;22.05;1.04;0.99;9.75
PEP;FMCG;120;100;15/11/2017;15/3/2018;10.440.314.483.642.500;10.304.283.905.029.200;0.10379615324812201;0.11907563353391082;0.10379615324812201;0.026105269450593174;1.96;-0.013029356426610322;BAD;17.6;20.88;4.84;2.3;10.72;10.97;1.35;9.18;57.09
UBS;BANK;210;2000;6/5/2016;2/12/2016;12.682.966.232.299.800;13.477.165.222.167.900;0.28914099851731684;0.36177156439614355;0.28914099851731684;-0.022724143173420797;-0.2;0.06261934119524591;GOOD;24.8;11.07;1.32;1.45;0.95;13.69;1.19;0.52;9.0
AAPL;TECH;10;1000;20/10/2017;30/10/2017;3.745.577.621.459.960;3.996.560.287.475.580;0.17354474326393496;0.17585343723299943;0.17354474326393496;0.006733208960779582;1.96;0.06700773322054299;BAD;16.5;16.06;2.3;3.4;5.65;21.09;1.28;13.95;36.29
UBS;BANK;480;2000;18/9/2017;11/1/2019;14.982.114.791.870.100;11.746.835.708.618.100;0.24590080193038866;0.22545437773538748;0.24590080193038866;-0.05194089868210468;1.96;-0.21594275095312596;BAD;24.8;14.36;1.09;1.62;1.03;10.99;1.21;0.44;7.43
NVDA;TECH;80;500;8/5/2018;27/7/2018;24.847.640.991.210.900;2.502.386.474.609.370;0.4267121784559379;0.3638314755610548;0.4267121784559379;0.10808047258842407;1.68;0.0070921724498976;BAD;12.9;37.17;6.01;12.81;17.57;34.45;8.54;36.1;55.01
HMC;AUTO;5;5000;23/6/2014;27/6/2014;3.516.999.816.894.530;34.849.998.474.121.000;0.18264207246998335;0.17774146212933314;0.18264207246998335;-0.0001256241072328285;-0.15;-0.00909865543032;BAD;28.5;9.01;3.28;0.45;0.88;4.99;1.21;3.9;9.97
KO;FMCG;4;20000;15/1/2016;19/1/2016;3.522.695.541.381.830;3.558.346.176.147.460;0.14372803968531905;0.14404145129079923;0.14372803968531905;0.0007059194060457601;-0.2;0.010120271350966778;GOOD;25.1;21.83;1.67;3.63;6.12;16.6;1.24;8.0;26.79
HMC;AUTO;15;20000;27/6/2017;12/7/2017;27.239.999.771.118.100;27.5;0.1655425481895358;0.16132483369881395;0.1655425481895358;-0.00037687232169848555;1.96;0.009544795560442961;BAD;28.5;7.51;3.28;0.34;0.0;4.55;1.22;3.48;8.65
AXP;BANK;7;50;30/9/2016;7/10/2016;596.387.939.453.125;578.049.201.965.332;0.23876762735780413;0.23853026518665277;0.23876762735780413;0.0028236250867004903;-0.2;-0.030749678648111494;BAD;19.8;10.58;5.64;1.67;2.6;15.68;1.91;3.39;25.78
AXP;BANK;90;200;18/8/2017;16/11/2017;8.088.677.215.576.170;8.897.848.510.742.180;0.17277288331364604;0.13319198117575437;0.17277288331364604;0.03630375111472058;1.96;0.10003753068645314;BAD;19.8;16.26;4.89;1.87;3.32;11.37;1.96;2.76;21.11
WMT;RETAIL;100;1500;24/2/2014;4/6/2014;62.107.398.986.816.400;6.613.631.439.208.980;0.12436241585672592;0.1186301627520818;0.12436241585672592;0.026584444817234452;-0.15;0.06487013578090203;GOOD;27.3;12.96;4.88;0.44;2.51;3.36;0.88;7.84;20.52
WMT;RETAIL;7;200;10/2/2016;17/2/2016;5.868.928.146.362.300;589.747.428.894.043;0.21423267485320543;0.21456829133494126;0.21423267485320543;0.0018609111372064118;-0.2;0.004863944806654099;GOOD;27.3;12.95;4.57;0.4;2.24;3.05;0.93;7.31;17.9
WMT;RETAIL;240;1000;23/6/2015;18/2/2016;6.376.435.852.050.780;5.719.953.536.987.300;0.16011929580749026;0.21653174766894256;0.16011929580749026;0.06380266756136269;-0.5;-0.10295442944859855;BAD;27.3;13.71;4.97;0.46;2.75;3.32;0.89;7.9;19.36
MSFT;TECH;30;20000;13/2/2017;15/3/2017;6.067.965.316.772.460;6.107.582.473.754.880;0.19999384073038495;0.1879694646966037;0.19999384073038495;0.01793732215266843;1.96;0.006528903003600911;BAD;14.7;27.58;2.12;4.89;6.57;23.81;2.05;11.1;31.54
BBY;RETAIL;40;300;28/9/2015;6/11/2015;30.346.988.677.978.500;3.025.300.407.409.660;0.3485037740644382;0.3409634752095994;0.3485037740644382;0.0287450354746565;-0.5;-0.003096999339181105;BAD;12.0;10.61;2.58;0.24;2.04;2.28;1.46;6.31;19.28
MSFT;TECH;600;50000;11/12/2015;2/8/2017;49.331.478.118.896.400;6.855.036.163.330.070;0.28274323233857224;0.14324802278675977;0.28274323233857224;0.35874644305336856;-0.5;0.3895866138063777;GOOD;14.7;36.29;1.4;4.7;5.24;13.29;3.0;6.65;14.44
WMT;RETAIL;600;20000;9/3/2015;28/10/2016;7.193.456.268.310.540;6.379.244.613.647.460;0.14624507237745174;0.19727096714406067;0.14624507237745174;0.1595066689034067;-0.5;-0.11318782297321332;BAD;27.3;14.61;5.05;0.49;2.77;3.37;0.97;8.01;19.77
TGT;RETAIL;80;4000;11/5/2016;29/7/2016;6.517.293.548.583.980;6.534.973.907.470.700;0.227417523913605;0.23736601123544404;0.227417523913605;0.025012927667368127;-0.2;0.002712837584331332;GOOD;14.8;12.62;5.42;0.59;3.24;4.61;1.16;8.31;25.5
BBY;RETAIL;15;3000;21/3/2016;5/4/2016;2.834.391.212.463.370;27.472.745.895.385.700;0.3339836777662722;0.3313652229884774;0.3339836777662722;0.010779388302996188;-0.2;-0.03073556767383968;BAD;12.0;9.3;2.58;0.21;1.77;2.27;1.43;6.41;19.38
DB;BANK;180;500;11/5/2018;7/11/2018;13.480.735.778.808.500;10.429.497.718.811.000;0.2870338846383687;0.3174855111055641;0.2870338846383687;-0.06950041141379466;1.68;-0.2263406174605124;BAD;30.0;0.0;-0.85;0.64;0.34;-2.93;0.76;-0.07;-1.63
GM;AUTO;600;20000;9/3/2018;30/10/2019;3.481.592.559.814.450;3.705.556.106.567.380;0.21629247242039604;0.2761622553874371;0.21629247242039604;0.06720397724630209;1.68;0.06432790250587665;BAD;30.6;0.0;-3.87;0.34;1.32;-3.77;0.86;-2.42;-13.53
BBY;RETAIL;420;500;2/6/2015;26/7/2016;2.932.510.757.446.280;2.948.052.406.311.030;0.3400325130796219;0.34835558545539846;0.3400325130796219;0.3018228724838933;-0.5;0.005299775567841459;GOOD;12.0;11.48;2.54;0.26;2.12;2.24;1.51;6.1;19.0
OR;FMCG;1;15000;7/8/2018;8/8/2018;8.637.635.231.018.060;8.560.685.157.775.870;0.23970991181946158;0.23930465605096582;0.23970991181946158;-0.00016917916235747766;1.68;-0.008908696788428499;BAD;20.5;0.0;-0.27;3.87;0.97;-12.24;7.79;-2.19;-2.82
AMZN;TECH;60;200;3/2/2016;4/4/2016;5.310.700.073.242.180;5.931.900.024.414.060;0.3403934223457802;0.3562863977510354;0.3403934223457802;0.054047297034474515;-0.2;0.11697138656008338;GOOD;27.4;545.07;1.24;3.0;23.79;0.56;1.05;1.07;4.92
PEP;FMCG;3;4000;3/1/2014;6/1/2014;6.705.667.877.197.260;6.708.930.206.298.820;0.13448228277624372;0.13448022029120962;0.13448228277624372;0.0006526317362648294;-0.15;0.00048650323298237065;GOOD;17.6;15.65;4.32;1.59;4.24;10.15;1.25;8.8;29.3
NVDA;TECH;100;500;26/6/2015;5/10/2015;20.131.521.224.975.500;2.477.804.183.959.960;0.2810847083752139;0.3214137938607608;0.2810847083752139;0.1351005907355301;-0.5;0.23080822172839344;GOOD;12.9;19.17;1.12;2.56;2.54;13.28;6.61;8.87;14.37
AMZN;TECH;270;50;22/12/2015;16/9/2016;6.631.500.244.140.620;77.852.001.953.125;0.3254196483054721;0.30615215182198935;0.3254196483054721;0.24321283665513532;-0.5;0.1739726922563633;GOOD;27.4;545.07;1.24;3.0;23.79;0.56;1.05;1.07;4.92
AMZN;TECH;180;500;10/11/2015;9/5/2016;6.596.799.926.757.810;679.75;0.3270193226868056;0.3452412263220721;0.3270193226868056;0.16214189110342353;-0.5;0.030423853303192014;GOOD;27.4;741.55;0.69;2.39;19.31;0.33;1.08;0.62;2.86
JPM;BANK;7;100;11/8/2017;18/8/2017;8.254.904.174.804.680;8.193.502.044.677.730;0.1696148354096004;0.17087669281172874;0.1696148354096004;0.002916252127118388;1.96;-0.0074382607994848;BAD;27.9;12.14;6.76;2.69;1.12;22.11;1.04;0.97;9.62
COST;RETAIL;600;100;29/9/2017;22/5/2019;15.511.163.330.078.100;24.004.006.958.007.800;0.1803902987367822;0.21128055332042353;0.1803902987367822;0.27521216731491355;1.96;0.5475310553568203;BAD;22.3;24.35;6.08;0.51;5.84;2.08;0.99;7.43;23.19
MSFT;TECH;360;300;11/6/2018;6/6/2019;9.773.384.857.177.730;12.563.284.301.757.800;0.21919164131490257;0.2608741635744704;0.21919164131490257;0.21524786583202113;1.68;0.2854588748268856;BAD;14.7;45.35;2.11;6.74;8.88;15.02;2.9;6.57;20.09
DB;BANK;7;15000;20/2/2015;27/2/2015;313.463.191.986.084;30.680.776.596.069.300;0.2610016449414302;0.26093603782842817;0.2610016449414302;-0.002702793777203126;-0.5;-0.0212319219466319;BAD;30.0;14.53;1.97;0.6;0.41;3.9;0.64;0.1;2.45
SC;BANK;40;300;20/1/2017;1/3/2017;1.202.216.911.315.910;13.333.195.686.340.300;0.5304077532627913;0.47722517610124415;0.5304077532627913;0.0012591397686890643;1.96;0.10905075122809027;BAD;26.9;5.8;2.11;0.62;0.84;10.84;0.91;2.0;15.44
BAC;BANK;660;5000;7/11/2016;29/8/2018;15.599.553.108.215.300;29.345.428.466.796.800;0.31151132338593;0.22203433475063322;0.31151132338593;0.34193817814859623;-0.2;0.8811710991478615;GOOD;26.3;11.39;1.26;1.71;0.54;15.7;0.92;0.67;5.54
JPM;BANK;40;20000;18/7/2016;26/8/2016;5.638.540.267.944.330;5.837.774.658.203.120;0.27776667484265494;0.2628480499912461;0.27776667484265494;0.01666429786924793;-0.2;0.03533439166719381;GOOD;27.9;9.22;5.9;2.0;0.78;21.83;1.03;0.92;8.92
JPM;BANK;10;10000;25/4/2014;5/5/2014;4.614.060.592.651.360;4.491.460.418.701.170;0.19212140832218075;0.19271223456898895;0.19212140832218075;0.004166074467311982;-0.15;-0.02657099348575001;BAD;27.9;12.46;4.01;1.82;0.86;14.66;0.96;0.63;7.24
GM;AUTO;120;15000;25/9/2018;23/1/2019;31.477.062.225.341.700;35.714.115.142.822.200;0.281244554643831;0.32643632015283175;0.281244554643831;0.013440795449260419;1.68;0.1346076354631745;BAD;30.6;65.78;0.48;0.31;1.08;0.52;0.89;0.35;2.01
AMZN;TECH;210;100;8/3/2018;4/10/2018;15.518.599.853.515.600;19.094.200.439.453.100;0.22716920976674726;0.26920834295105417;0.22716920976674726;0.1891655396206608;1.68;0.23040742204120135;BAD;27.4;182.28;7.94;3.7;22.31;2.04;1.06;3.42;14.72
GM;AUTO;20;500;13/11/2013;3/12/2013;2.971.003.532.409.660;29.478.168.487.548.800;0.2537866899427879;0.24864763720853894;0.2537866899427879;0.002240132574876736;1.41;-0.007804327191755076;BAD;30.6;11.99;2.32;0.29;1.04;2.37;1.3;2.3;9.64
HMC;AUTO;330;500;11/8/2017;6/7/2018;27.559.999.465.942.300;29.190.000.534.057.600;0.15752503705121765;0.1672124827682093;0.15752503705121765;-0.008291191077366682;1.96;0.05914372640425951;BAD;28.5;7.51;3.28;0.34;0.0;4.55;1.22;3.48;8.65
PEP;FMCG;4;100;15/3/2016;18/3/2016;8.792.725.372.314.450;8.804.894.256.591.790;0.15117732819740315;0.15079136004040355;0.15117732819740315;0.0008701756483531058;-0.2;0.0013839718360429824;GOOD;17.6;25.45;3.5;2.1;11.47;8.23;1.42;7.33;38.74
AMZN;TECH;180;100;23/9/2015;21/3/2016;5.360.700.073.242.180;55.397.998.046.875;0.3300070755784462;0.3549001682039892;0.3300070755784462;0.16214189110342353;-0.5;0.03340976532883918;GOOD;27.4;741.55;0.69;2.39;19.31;0.33;1.08;0.62;2.86
JPM;BANK;90;50000;21/2/2014;22/5/2014;4.742.390.441.894.530;451.879.768.371.582;0.19530646266152352;0.18926085302835952;0.19530646266152352;0.037494670205807844;-0.15;-0.04714769079396764;BAD;27.9;11.07;4.32;1.71;0.85;15.51;0.95;0.68;7.94
MSFT;TECH;210;10000;12/5/2016;8/12/2016;4.734.199.905.395.500;5.720.124.816.894.530;0.2687187412987148;0.23085637567469436;0.2687187412987148;0.125561255068679;-0.2;0.20825586819335137;GOOD;14.7;40.42;1.26;4.74;5.36;12.06;2.9;5.91;13.56
M;RETAIL;50;1000;6/6/2017;26/7/2017;17.692.218.780.517.500;19.339.582.443.237.300;0.41717523536455614;0.4249931813913715;0.41717523536455614;0.0011891971496682742;1.96;0.0931123271284538;BAD;14.5;12.64;1.85;0.28;1.63;2.24;1.36;2.92;14.26
NVDA;TECH;70;500;18/12/2017;26/2/2018;1.962.577.667.236.320;24.468.577.575.683.500;0.4141648482070321;0.40548949899605735;0.4141648482070321;0.09457041351487107;1.96;0.2467571594320581;BAD;12.9;50.91;4.03;14.56;19.57;28.78;8.26;26.85;42.66
KSS;RETAIL;90;20000;7/4/2014;7/7/2014;4.274.274.444.580.070;407.469.596.862.793;0.2240214179964289;0.22102663943993342;0.2240214179964289;0.001690169356642226;-0.15;-0.04669294836816587;BAD;12.9;10.38;4.01;0.48;1.48;4.59;1.94;6.0;14.56
AAPL;TECH;150;1500;23/5/2014;20/10/2014;19.795.345.306.396.400;2.262.101.173.400.870;0.2388944568986556;0.21514934998679525;0.2388944568986556;0.10099813441169372;-0.15;0.14274398268259786;GOOD;16.5;11.51;1.49;2.48;3.45;21.42;1.63;18.0;30.36
TGT;RETAIL;270;4000;24/3/2014;19/12/2014;4.818.156.051.635.740;6.137.841.796.875;0.17204327231825478;0.20429934802758717;0.17204327231825478;0.08441863087736742;-0.15;0.2738985062119834;GOOD;14.8;14.84;3.07;0.41;1.78;2.77;0.91;4.4;12.14
PG;FMCG;4;4000;1/10/2018;5/10/2018;787.240.982.055.664;7.729.395.294.189.450;0.1539769769617499;0.15517194018563815;0.1539769769617499;0.0008465974431496651;1.68;-0.018166549967170695;BAD;25.1;20.5;3.82;3.1;3.72;14.7;0.8;8.06;18.28
AAPL;TECH;360;50000;18/5/2016;12/5/2017;22.154.695.510.864.200;37.273.441.314.697.200;0.2818709165135912;0.1768481957516863;0.2818709165135912;0.24239552258806493;-0.2;0.6824172237627483;GOOD;16.5;11.29;2.25;2.53;4.26;22.27;1.28;17.44;40.24
AXP;BANK;10;50000;10/7/2014;21/7/2014;8.528.470.611.572.260;8.385.820.007.324.210;0.17911827653695786;0.17379802934428706;0.17911827653695786;0.004033750123857842;-0.15;-0.016726399227369623;BAD;19.8;16.37;5.22;2.59;4.42;15.83;2.18;3.69;28.39
TGT;RETAIL;60;50000;1/12/2014;30/1/2015;60.382.415.771.484.300;61.096.214.294.433.500;0.206660086405436;0.21014662377342735;0.206660086405436;0.018759695750526096;-0.15;0.01182129787007148;GOOD;14.8;21.3;2.39;0.46;1.97;2.15;1.02;3.4;9.31
HOG;AUTO;6;2000;4/5/2018;10/5/2018;3.769.071.960.449.210;373.505.744.934.082;0.25778850202381515;0.2574094539629193;0.25778850202381515;0.0007326382861724565;1.68;-0.009024638283728709;BAD;16.3;13.32;2.96;1.19;3.29;8.97;1.11;5.0;26.35
AMZN;TECH;50;1000;24/7/2018;12/9/2018;1.829.239.990.234.370;1990.0;0.26343011933894456;0.2647364682622608;0.26343011933894456;0.04503941419539543;1.68;0.08788349840582006;BAD;27.4;134.8;12.61;4.05;23.65;3.02;1.07;4.95;21.12
AMZN;TECH;480;15000;3/1/2018;29/4/2019;1.204.199.951.171.870;19.384.300.537.109.300;0.20528249972786705;0.34556048580025756;0.20528249972786705;0.4323783762757961;1.68;0.6097244081637287;BAD;27.4;190.16;6.15;3.24;20.43;1.71;1.04;2.92;12.47
OR;FMCG;15;15000;25/8/2017;8/9/2017;12.872.431.755.065.900;13.516.998.291.015.600;0.35296961131107113;0.3411915375508855;0.35296961131107113;-0.002537687435362165;1.96;0.050073408677893304;BAD;20.5;38.61;0.3;24.49;1.36;62.0;12.75;2.89;3.38
FB;TECH;6;50000;3/4/2014;9/4/2014;594.900.016.784.668;6.240.999.984.741.210;0.4639549378963397;0.46983999096422685;0.4639549378963397;0.0049581160704331795;-0.15;0.04908384747957143;GOOD;31.6;80.32;0.75;17.17;9.19;21.46;13.56;11.32;13.28
PG;FMCG;330;1500;26/2/2016;20/1/2017;704.183.578.491.211;7.836.576.080.322.260;0.1673706753256551;0.14287909417972522;0.1673706753256551;0.06984428905984737;-0.2;0.11285981662806918;GOOD;25.1;23.08;2.96;2.88;2.97;12.25;1.13;6.44;13.27
PEP;FMCG;3;500;22/5/2017;25/5/2017;1.026.125.259.399.410;1.051.443.099.975.580;0.11599471199999847;0.11674163627351707;0.11599471199999847;0.0006526317362648294;1.96;0.024673245633764322;BAD;17.6;21.56;4.64;2.3;12.25;10.66;1.25;9.12;55.99
FB;TECH;40;4000;2/5/2017;12/6/2017;15.277.999.877.929.600;14.844.000.244.140.600;0.17250098542310693;0.1775152380398217;0.17250098542310693;0.0330541071362212;1.96;-0.028406835793735687;BAD;31.6;37.58;3.78;13.74;6.62;38.02;12.61;18.49;20.39
KSS;RETAIL;1;100;15/6/2018;15/6/2018;6.669.161.224.365.230;6.669.161.224.365.230;0.3443401089288533;0.3443401089288533;0.3443401089288533;1,88E+11;1.68;0.0;BAD;12.9;10.64;5.2;0.46;1.74;4.29;1.76;6.51;16.68
TSLA;AUTO;720;100;29/3/2018;18/3/2020;5.322.600.173.950.190;7.224.400.329.589.840;0.38471300959516885;0.6886047729209798;0.38471300959516885;1.017.344.078.002.820;1.68;0.35730659705521667;BAD;31.1;0.0;-2.79;3.56;8.5;-18.77;0.74;-8.51;-41.54
AMZN;TECH;120;500;14/8/2015;11/12/2015;53.152.001.953.125;6.401.500.244.140.620;0.30813457095487923;0.32654592345194244;0.30813457095487923;0.10809459406894903;-0.5;0.20437613051454545;GOOD;27.4;0.0;-0.43;2.11;17.26;-0.2;1.1;-0.38;-1.72
HOG;AUTO;7;25000;21/1/2016;28/1/2016;35.016.082.763.671.800;33.509.376.525.878.900;0.3026918294983262;0.30567498271542637;0.3026918294983262;0.0008547446672011993;-0.2;-0.043028977511902926;BAD;16.3;10.8;3.62;1.35;3.93;12.54;1.45;7.25;29.03
DB;BANK;120;200;9/5/2014;5/9/2014;3.705.134.963.989.250;3.295.863.723.754.880;0.24100029030115755;0.22835589464136258;0.24100029030115755;-0.04633360760919644;-0.15;-0.11046054845832644;BAD;30.0;599.56;0.07;0.79;0.56;0.34;0.73;0.01;0.25
HMC;AUTO;60;2000;10/5/2016;8/7/2016;28.25;2.509.000.015.258.780;0.26416065273866607;0.27732407120548286;0.26416065273866607;-0.0015074892867939422;-0.2;-0.11185840167830476;BAD;28.5;15.38;1.54;0.35;0.73;2.36;1.14;1.88;4.71
TSLA;AUTO;7;1000;30/5/2014;6/6/2014;4.155.400.085.449.210;4.163.399.887.084.960;0.613393743315368;0.6060022769195089;0.613393743315368;0.009890845202805223;-0.15;0.0019251579802760125;GOOD;31.1;0.0;-0.22;12.16;28.35;-6.52;2.23;-4.92;-19.48
SC;BANK;330;3000;1/12/2017;26/10/2018;15.518.881.797.790.500;16.002.037.048.339.800;0.27481486140457534;0.28716566552669937;0.27481486140457534;0.01038790309168478;1.96;0.031133380410056654;BAD;26.9;7.49;1.86;0.71;0.85;9.41;0.9;1.71;12.02
PEP;FMCG;150;20000;9/10/2015;7/3/2016;8.525.621.032.714.840;8.627.564.239.501.950;0.15252237598869778;0.15457436424340731;0.15252237598869778;0.03263158681324147;-0.5;0.011957276355109962;GOOD;17.6;23.98;3.37;1.88;8.7;7.82;1.2;7.14;31.7
WMT;RETAIL;150;100;24/9/2015;22/2/2016;5.646.784.591.674.800;5.854.653.549.194.330;0.18448757306103628;0.21476795831409923;0.18448757306103628;0.039876667225851675;-0.5;0.03681191555031117;GOOD;27.3;13.21;4.79;0.42;2.48;3.19;0.89;7.65;18.66
SC;BANK;100;1000;28/3/2017;6/7/2017;11.763.533.592.224.100;11.495.979.309.082.000;0.4413819365643752;0.348729192572308;0.4413819365643752;0.0031478494217226606;1.96;-0.022744380423153413;BAD;26.9;6.19;1.95;0.61;0.8;9.92;0.91;1.81;13.58
HOG;AUTO;70;20000;21/11/2017;30/1/2018;422.791.633.605.957;4.637.883.377.075.190;0.218245211796355;0.2495257830651614;0.218245211796355;0.008547446672011991;1.96;0.09696668723528135;BAD;16.3;13.65;3.2;1.39;3.96;10.13;1.18;5.5;28.66
BBY;RETAIL;2;1000;30/3/2015;1/4/2015;3.268.185.806.274.410;31.383.012.771.606.400;0.34937499920903037;0.3505987884775116;0.34937499920903037;0.001437251773732825;-0.5;-0.039742088367317185;BAD;12.0;8.34;3.49;0.25;2.05;3.06;1.48;8.32;26.62
M;RETAIL;10;300;16/7/2018;26/7/2018;3.208.311.080.932.610;342.427.978.515.625;0.4082168969928748;0.4068417932563241;0.4082168969928748;0.00023783942993365484;1.68;0.06731538768393161;BAD;14.5;6.31;5.41;0.41;1.78;6.52;1.53;8.6;31.0
TSLA;AUTO;300;4000;5/9/2014;2/7/2015;5.547.800.064.086.910;5.600.400.161.743.160;0.5485293410402419;0.3644272175862066;0.5485293410402419;0.4238933658345095;-0.15;0.00948125329835714;GOOD;31.1;0.0;-0.33;10.47;31.75;-7.11;1.83;-4.66;-23.27
COST;RETAIL;100;10000;12/5/2017;21/8/2017;16.081.927.490.234.300;14.829.498.291.015.600;0.160342468763058;0.1773276402969603;0.160342468763058;0.04586869455248559;1.96;-0.0778780528627105;BAD;22.3;29.45;5.77;0.61;7.32;2.06;0.81;7.21;21.4
MSFT;TECH;7;100;23/2/2017;2/3/2017;6.095.319.747.924.800;60.377.811.431.884.700;0.19525776987088353;0.19242785746564453;0.19525776987088353;0.004185375168955967;1.96;-0.009439800882622697;BAD;14.7;27.58;2.12;4.89;6.57;23.81;2.05;11.1;31.54
AAPL;TECH;50;25000;9/1/2017;28/2/2017;28.173.398.971.557.600;3.257.591.247.558.590;0.22792953796670207;0.2019559439710072;0.22792953796670207;0.033666044803897906;1.96;0.15626490465253648;BAD;16.5;13.14;2.09;2.74;4.35;20.73;1.23;14.31;34.94
NVDA;TECH;2;3000;4/1/2017;6/1/2017;10.312.196.350.097.600;10.184.764.099.121.000;0.44677243706816033;0.4431106246210397;0.44677243706816033;0.002702011814710602;1.96;-0.012357430623918999;BAD;12.9;42.34;2.55;9.95;10.96;24.11;4.77;19.59;33.72
UBS;BANK;210;4000;15/8/2018;13/3/2019;13.796.736.717.224.100;10.917.961.120.605.400;0.1865221940611949;0.2254170248078757;0.1865221940611949;-0.022724143173420797;1.68;-0.20865626819019686;BAD;24.8;36.5;0.4;1.62;1.06;0.6;0.95;0.02;0.39
TSLA;AUTO;480;50;15/5/2015;6/9/2016;49.768.001.556.396.400;40.566.001.892.089.800;0.3771460668118732;0.41746858439006523;0.3771460668118732;0.6782293853352153;-0.5;-0.18489791385091178;BAD;31.1;0.0;-0.64;6.7;28.88;-11.34;1.33;-7.11;-43.75
